timestamp,mining_difficulty,hash_rate_ths,miner_revenue_usd
2010-01-06,1.18289953431284,9.29075625768183e-06,0.0
2010-01-08,1.18289953431284,9.29075625768183e-06,0.0
2010-01-10,1.18289953431284,1.12312306659318e-05,0.0
2010-01-12,1.18289953431284,1.12312306659318e-05,0.0
2010-01-14,1.30506213159152,1.02502484902837e-05,0.0
2010-01-16,1.30506213159152,1.02502484902837e-05,0.0
2010-01-18,1.30506213159152,8.4337487578284e-06,0.0
2010-01-20,1.30506213159152,8.4337487578284e-06,0.0
2010-01-22,1.30506213159152,9.73124856672508e-06,0.0
2010-01-24,1.30506213159152,9.73124856672508e-06,0.0
2010-01-26,1.34422497077103,1.34980007194616e-05,0.0
2010-01-28,1.34422497077103,1.34980007194616e-05,0.0
2010-01-30,1.34422497077103,1.20279214331836e-05,0.0
2010-02-01,1.34422497077103,1.20279214331836e-05,0.0
2010-02-03,1.34422497077103,1.62376939347979e-05,0.0
2010-02-05,1.34422497077103,1.62376939347979e-05,0.0
2010-02-07,1.81864853614541,1.87139403823172e-05,0.0
2010-02-09,1.81864853614541,1.87139403823172e-05,0.0
2010-02-11,1.81864853614541,1.60921806186109e-05,0.0
2010-02-13,1.81864853614541,1.60921806186109e-05,0.0
2010-02-15,2.52773821507236,2.32460914215077e-05,0.0
2010-02-17,2.52773821507236,2.32460914215077e-05,0.0
2010-02-19,2.52773821507236,2.24921641321615e-05,0.0
2010-02-21,2.52773821507236,2.24921641321615e-05,0.0
2010-02-23,2.52773821507236,3.15392916043158e-05,0.0
2010-02-25,2.52773821507236,3.15392916043158e-05,0.0
2010-02-27,3.78117925203377,3.25176751436248e-05,0.0
2010-03-01,3.78117925203377,3.25176751436248e-05,0.0
2010-03-03,3.78117925203377,2.78185891402109e-05,0.0
2010-03-05,3.78117925203377,2.78185891402109e-05,0.0
2010-03-07,3.78117925203377,3.25176751436248e-05,0.0
2010-03-09,3.78117925203377,3.25176751436248e-05,0.0
2010-03-11,4.53108175007069,3.28852291444466e-05,0.0
2010-03-13,4.53108175007069,3.28852291444466e-05,0.0
2010-03-15,4.53108175007069,2.79299206432286e-05,0.0
2010-03-17,4.53108175007069,2.79299206432286e-05,0.0
2010-03-19,4.53108175007069,2.99570923028178e-05,0.0
2010-03-21,4.53108175007069,2.99570923028178e-05,0.0
2010-03-23,4.56516291033707,4.65217732310883e-05,0.0
2010-03-25,4.56516291033707,4.65217732310883e-05,0.0
2010-03-27,4.56516291033707,3.9486773376631e-05,0.0
2010-03-29,4.56516291033707,3.9486773376631e-05,0.0
2010-03-31,4.56516291033707,4.69756441894404e-05,0.0
2010-04-02,4.56516291033707,4.69756441894404e-05,0.0
2010-04-04,6.08547690600079,5.02167758384825e-05,0.0
2010-04-06,6.08547690600079,5.02167758384825e-05,0.0
2010-04-08,6.08547690600079,5.89895860753258e-05,0.0
2010-04-10,6.08547690600079,5.89895860753258e-05,0.0
2010-04-12,7.81979699335383,8.43531550865232e-05,0.0
2010-04-14,7.81979699335383,8.43531550865232e-05,0.0
2010-04-16,7.81979699335383,7.85222918316944e-05,0.0
2010-04-18,7.81979699335383,7.85222918316944e-05,0.0
2010-04-20,7.81979699335383,7.96884644826601e-05,0.0
2010-04-22,7.81979699335383,7.96884644826601e-05,0.0
2010-04-24,11.4643158055141,8.37744517822657e-05,0.0
2010-04-26,11.4643158055141,8.37744517822657e-05,0.0
2010-04-28,11.4643158055141,9.9731490216983e-05,0.0
2010-04-30,11.4643158055141,9.9731490216983e-05,0.0
2010-05-02,11.4643158055141,9.68820190679263e-05,0.0
2010-05-04,11.4643158055141,9.68820190679263e-05,0.0
